claim_id,section,claim,source_ids,evidence_location,status,notes
A007-design,new_primitive,"Plan a reusable open/closed belt around a circular or elliptical membrane boundary, with lipid-facing inner edge and exposed outer edge. Build the disc from existing lipid bilayer components and this belt rather than baking a membrane protein into it.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A008-science,new_primitive,Guanine-rich nucleic acid can fold into quadruplex structures.,TELO,"TELO: Protecting the Ends; Add Six Bases, Repeat; Quadruplexes",reported,Verified at schematic scope. Limit: Loop topology and strand orientation are sequence dependent. A telomere need not be folded into this state.
A008-design,new_primitive,Plan a strand-followable stack of tetrad placeholders with connecting loops. Retain 5-prime and 3-prime anchors. Use a compact topology view and a simplified small-scale icon; reserve base and ion labels for a specified structure.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A009-science,new_primitive,Holliday junctions connect four DNA arms; their conformation depends on sequence and conditions.,HJ,HJ: Primary Citation abstract; structure metadata,reported,"Verified at schematic scope. Limit: Open layout is an explanatory design choice. The cited deposition directly supports a stacked-X conformation, not a universal angle."
A009-design,new_primitive,Plan four duplex arms with continuous colored strand paths through the junction. Include an explanatory open layout and a compact stacked arrangement. Crossing strands must remain traceable and must not appear severed.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A010-science,new_primitive,Pericytes are associated with the outside of capillary endothelium.,CAP,CAP: Continuous; Fenestrated capillaries; Sinusoids,reported,Verified at schematic scope. Limit: Shape varies by vascular bed. Positioning outside the endothelial lumen is the verified constraint; process lengths are schematic.
A010-design,new_primitive,Plan an elongated nucleated cell whose processes can follow a vessel exterior. Provide a vessel-contact anchor and process handles. Keep the vessel itself separate and leave marker labels optional.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A011-science,new_primitive,Paneth cells occur at intestinal crypt bases and contain antimicrobial secretory granules.,GUT,GUT: Structure; Epithelium and Villi; Crypts,reported,"Verified at schematic scope. Limit: Granule colors are design choices, not unstained biological colors. Do not identify all granular epithelial cells as Paneth cells."
A011-design,new_primitive,Plan a crypt-compatible epithelial outline with a distinct granule-rich apical region and basal nucleus. Include explicit apical/basal anchors so the cell can be inserted among existing epithelial cells. Keep granules separate for a secretion scene.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
A012-science,new_primitive,Type II pneumocytes are comparatively compact alveolar epithelial cells that secrete surfactant.,LUNG,LUNG: Alveoli; Main constituents of alveolus and interalveolar wall,reported,Verified at schematic scope. Limit: The verified distinction is compact secretory cell versus thin type I cell. Detailed lamellar-body ultrastructure remains outside this specification.
A012-design,new_primitive,"Plan a compact cell cutaway with a nucleus, apical secretion positions and lateral junction anchors. Fit it as a discrete cell in an alveolar wall; expose an apical face toward airspace. Use library vesicles for secretion.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P001-science,reuse_preset,Type I pneumocytes form a thin alveolar diffusion surface.,LUNG,LUNG: Alveoli; Main constituents of alveolus and interalveolar wall,reported,Verified at schematic scope. Limit: Do not stretch the nucleus with the entire outline; keep cell identity and tissue context explicit.
P001-design,reuse_preset,Reuse a flattened epithelial outline with a nucleus bulge and long lateral junction anchors. Apply the type I label only in an alveolar context.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P002-science,reuse_preset,Enterocytes have apical microvilli along the intestinal absorptive surface.,GUT,GUT: Structure; Epithelium and Villi; Crypts,reported,Verified at schematic scope. Limit: Microvilli are not motile cilia.
P002-design,reuse_preset,Reuse a columnar epithelial cell and place repeated microvilli on its apical face. Preserve a separate nucleus and basal attachment.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P003-science,reuse_preset,Endocrine cells in intestinal crypts produce gastrointestinal hormones.,GUT,GUT: Structure; Epithelium and Villi; Crypts,reported,Verified at schematic scope. Limit: The source does not establish a unique silhouette for each endocrine subtype. Detailed polarity requires subtype-specific verification.
P003-design,reuse_preset,Reuse a generic epithelial cell with an endocrine identity label and an optional secretion annotation. Do not create one new silhouette for every hormone.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P004-science,reuse_preset,Fenestrated capillary endothelium contains pores that support molecular exchange.,CAP,CAP: Continuous; Fenestrated capillaries; Sinusoids,reported,Verified at schematic scope. Limit: Fenestrae and intercellular gaps are different features; do not make all fenestrated barriers equally permeable.
P004-design,reuse_preset,"Reuse an endothelial cell, with a removable pore-pattern overlay away from the nucleus. Keep the basement membrane as another component.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P005-science,reuse_preset,Type I interferon binds a receptor composed of IFNAR1 and IFNAR2.,IFN,"IFN: Summary and Events: receptor assembly, JAKs, STATs and ISGF3",reported,Verified at schematic scope. Limit: Chain identity does not justify inventing a new generic receptor drawing.
P005-design,reuse_preset,Reuse the heterodimeric cytokine-receptor archetype; label its chains independently and expose cytosolic partner anchors.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P006-science,reuse_preset,PD-1 acts as an inhibitory receptor in T-cell signaling.,PD1,PD1: Summary and Events: ligation and phosphatase recruitment,reported,Verified at schematic scope. Limit: Use a generic topology unless the precise domain structure is independently checked.
P006-design,reuse_preset,Reuse the single-pass immunoglobulin-like receptor. Put the binding anchor outside the membrane and the phosphatase-association annotation inside.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P007-science,reuse_preset,PD-L1 participates as a PD-1 ligand.,PD1,PD1: Summary and Events: ligation and phosphatase recruitment,reported,Verified at schematic scope. Limit: A ligand label does not establish exact ectodomain geometry or glycosylation.
P007-design,reuse_preset,"Use a membrane-tethered ligand with a PD-L1 text label, keeping its extracellular binding anchor compatible with P006.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P008-science,reuse_preset,"TCR and BCR pathways use named kinases such as LCK, ZAP-70 and SYK.",TCR;BCR,TCR: Summary and Events: Phosphorylation of CD3; Translocation of ZAP-70; BCR: Summary paragraphs 1-7,reported,Verified at schematic scope. Limit: Activity annotations are context-dependent; color alone must not imply activation.
P008-design,reuse_preset,Reuse the enzyme archetype with independent name and phosphorylation overlays. Expose substrate and recruiter anchors; change labels rather than generate a new blob for each kinase.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P009-science,reuse_preset,PD-1-associated phosphatases attenuate signaling by dephosphorylation.,PD1,PD1: Summary and Events: ligation and phosphatase recruitment,reported,Verified at schematic scope. Limit: A generic phosphatase icon does not specify all downstream targets or exclude alternative mechanisms.
P009-design,reuse_preset,Reuse a generic enzyme with SHP-1 or SHP-2 as a label and a catalytic relationship to a selected substrate.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P010-science,reuse_preset,"STAT1, STAT2 and IRF9 participate in type I interferon signaling.",IFN,"IFN: Summary and Events: receptor assembly, JAKs, STATs and ISGF3",reported,Verified at schematic scope. Limit: Do not confuse STAT1 homodimer with STAT1/STAT2/IRF9 ISGF3.
P010-design,reuse_preset,Reuse protein and DNA-bound transcription-factor archetypes with independent labels. Assemble a named complex only when the correct partners are selected.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P011-science,reuse_preset,Transferrin carries iron and releases it in an acidified endosomal setting.,FERR,FERR: Storing Iron; Transferrin and transferrin receptor,reported,"Verified at schematic scope. Limit: The protein outline is an identity schematic, not a verified two-lobe structural depiction."
P011-design,reuse_preset,Use one generic protein instance labeled transferrin with two removable iron-occupancy tokens. Tokens are native circles labeled Fe; they are not drug icons.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P012-science,reuse_preset,Phosphorylation marks receptor and adaptor states in the selected signaling pathways.,TCR;BCR;INS,"TCR: Summary and Events: Phosphorylation of CD3; Translocation of ZAP-70; BCR: Summary paragraphs 1-7; INS: Summary and Events: SHC, IRS and attenuation",reported,Verified at schematic scope. Limit: A P token is an annotation. Site and stoichiometry require a cited specific event.
P012-design,reuse_preset,"Attach removable P tokens to named domains or tails, with an optional phosphosite label. Preserve the base asset unchanged.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P013-science,reuse_preset,Splicing generates an intron lariat through a branch-point linkage.,SPLICE,SPLICE: Summary paragraphs 1-6,reported,Verified at schematic scope. Limit: The branch linkage is not an ordinary 3-prime to 5-prime backbone bond.
P013-design,reuse_preset,"Reuse an RNA strand, arrange a loop with a tail and add a branch-point connector. Keep the loop closure distinguishable from ordinary backbone continuation.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P014-science,reuse_preset,Riboswitch ligand binding stabilizes a regulatory RNA conformation.,RIBO,RIBO: Self Control; Flipping the Switch,reported,Verified at schematic scope. Limit: The small-molecule asset is a generic symbol relabeled as the chosen metabolite; binding can increase or decrease expression.
P014-design,reuse_preset,Reuse an RNA strand and a labeled ligand token. Provide two editable strand arrangements and a marked ligand pocket without asserting a sequence.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P015-science,reuse_preset,Surface-associated C3b can promote recognition and phagocytosis of a target.,C3,"C3: Summary: convergence, outcomes and nomenclature note",reported,Verified at schematic scope. Limit: Token density is qualitative and does not establish complement deposition measurements.
P015-design,reuse_preset,Reuse a bacterial or particle asset and distribute independently selectable protein tokens labeled C3b along its outside. Keep a clean no-opsonin state.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P016-science,reuse_preset,Annexin V binds phosphatidylserine in a calcium-dependent manner.,ANNEX,ANNEX: What is Annexin V; How Annexin V staining works; false-positive caveat,reported,Verified at schematic scope. Limit: Annexin positivity alone is not a definitive cell-death classification.
P016-design,reuse_preset,Reuse a protein archetype with an attached fluorophore marker and an Annexin V label. Provide a lipid-facing binding anchor and separate fluorescence annotation.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P017-science,reuse_preset,Compatible DNA ends permit ligation during restriction cloning.,CLONE,CLONE: Design; Digest; Ligate; Transform; Isolate the Finished Plasmid,reported,Verified at schematic scope. Limit: Do not imply that all restriction enzymes leave the same kind of overhang.
P017-design,reuse_preset,"Reuse duplex and single-strand fragments. Preserve strand direction, show a short overhang and allow explicit complementary sequence labels.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
P018-science,reuse_preset,Antibody-linked oligonucleotides can encode the identity of a bound surface target.,FEATURE,FEATURE: Feature Barcode technology and application bullets,reported,"Verified at schematic scope. Limit: Antibody barcode identity, sample identity and cell barcode are different fields."
P018-design,reuse_preset,Reuse the DNA-barcoded antibody. Keep target-binding and barcode endpoints separate and annotate target identity without implying fluorescence detection.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C001-science,composite,TCR engagement couples CD3 phosphorylation to ZAP-70 recruitment and adaptor signaling.,TCR,TCR: Summary and Events: Phosphorylation of CD3; Translocation of ZAP-70,reported,Verified at schematic scope. Limit: This is a proximal schematic; CD4/CD8 context and downstream branches must be selected explicitly.
C001-design,composite,"Place a T-cell membrane opposite a peptide-presenting surface. Anchor TCR/CD3 in the T-cell membrane and peptide-MHC opposite it; put labeled LCK, ZAP-70 and LAT nodes on the cytosolic side. Connect engagement, phosphorylation and recruitment in numbered steps, retaining an unstimulated comparison.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C002-science,composite,BCR signaling connects antigen recognition to ITAM kinases and downstream second-messenger pathways.,BCR,BCR: Summary paragraphs 1-7,reported,Verified at schematic scope. Limit: Antigen valency and calcium dynamics vary. Do not draw every BCR as a permanently crosslinked cluster.
C002-design,composite,"Use a B-cell outline with one enlarged membrane inset. Place BCR outside-facing, CD79 labels on its signaling partners and SYK/BLNK/PLC-gamma2 inside. Branch a labeled PLC step into DAG at the membrane and IP3 toward an ER calcium-release annotation. Keep ion tokens and pathway arrows editable.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C003-science,composite,Complement initiation routes converge on C3 cleavage and have distinct effector outputs.,C3,"C3: Summary: convergence, outcomes and nomenclature note",reported,Verified at schematic scope. Limit: Select a consistent C2-fragment naming convention before naming a convertase; historical conventions differ.
C003-design,composite,"Build three labeled initiation lanes merging at a C3 cleavage node. Split the output into C3b surface decoration, soluble inflammatory-fragment labels and a terminal membrane-pore panel. Use existing complement complexes and a particle; do not draw all three outcomes as the same arrow or protein.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C004-science,composite,Class I peptide loading occurs in the ER before surface delivery through the secretory pathway.,MHCI,"MHCI: Summary and Events: transport into ER, loading and surface transport",reported,"Verified at schematic scope. Limit: This is the conventional loading route, not a complete description of cross-presentation."
C004-design,composite,"Arrange cytosol, ER lumen, Golgi and surface as distinct compartments. Move peptide tokens into the ER, associate them with class I MHC and route the loaded complex through Golgi to membrane. Label the beta-2-microglobulin partner without inventing a new protein silhouette.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C005-science,composite,Endosomal antigen processing and peptide exchange produce surface class II peptide complexes.,MHCII,"MHCII: Summary and Events: invariant chain, antigen processing and loading",reported,Verified at schematic scope. Limit: The invariant chain and CLIP are different states; do not show extracellular antigen loading directly onto ER class II as the default route.
C005-design,composite,Place incoming antigen in an endocytic lane and class II/invariant-chain in a secretory lane. Merge in an acidic compartment; use removable labels for invariant-chain processing and CLIP exchange. Deliver the loaded class II complex to the surface facing a CD4 T-cell receptor panel.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C006-science,composite,IgE combines antigen-binding arms with an Fc region structurally distinct from IgG Fc.,IGEF,IGEF: Primary Citation abstract,reported,"Verified at schematic scope. Limit: The Fc deposition verifies Fc architecture, not a universal whole-antibody arm angle."
C006-design,composite,"Attach two existing Fab instances to the planned IgE Fc module, preserving each arm as a linked component. Provide antigen-facing endpoints and an Fc receptor-facing endpoint. Label the result a schematic; do not claim a complete crystallographic pose.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C007-science,composite,Aggregation of IgE-bound Fc epsilon receptors can trigger mast-cell mediator release.,IGE,"IGE: Summary and Events: IgE binding, aggregation and degranulation",reported,Verified at schematic scope. Limit: Receptor subunits are named schematic groups; do not equate unbound soluble IgE with receptor crosslinking.
C007-design,composite,"Use a mast-cell cutaway with membrane receptor instances and modular IgE outside. A multivalent allergen token bridges receptor-associated IgE; inside, connect a SYK/PLC/calcium annotation to separate granules and exocytosis arrows. Provide sensitized and activated panels.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C008-science,composite,PD-1 ligation recruits phosphatases that attenuate T-cell signaling.,PD1,PD1: Summary and Events: ligation and phosphatase recruitment,reported,Verified at schematic scope. Limit: Checkpoint engagement is not a binary guarantee of cell inactivity; a blockade panel would need a specific intervention source.
C008-design,composite,"Place a T-cell membrane opposite a ligand-bearing membrane. Align PD-1 with PD-L1 across the gap, recruit a SHP-labeled enzyme inside the T cell and draw an inhibitory connector to a named proximal signaling node. Keep ligand occupancy and inhibition as separate annotations.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C009-science,composite,Type I interferon signaling produces the STAT1/STAT2/IRF9 complex ISGF3.,IFN,"IFN: Summary and Events: receptor assembly, JAKs, STATs and ISGF3",reported,Verified at schematic scope. Limit: Do not substitute a STAT1 homodimer for ISGF3 or imply every interferon uses this receptor.
C009-design,composite,"Place one IFN ligand above IFNAR1/2. Attach JAK1 and TYK2 labels inside, then show separate STAT1, STAT2 and IRF9 instances assembling into a named group. Route that group through a nuclear boundary to a DNA-response annotation.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C010-science,composite,Canonical WNT stabilizes beta-catenin and changes its transcriptional role.,WNT,WNT: Summary: canonical pathway and context dependence,reported,Verified at schematic scope. Limit: Noncanonical WNT pathways are outside this recipe; generic protein nodes are not verified domain structures.
C010-design,composite,"Create matched WNT-absent and WNT-present panels using the same membrane, Frizzled and nucleus. In the absent panel group Axin/APC/CK1/GSK3 labels around beta-catenin and route turnover to proteasome. In the present panel annotate LRP5/6 with Frizzled and route stabilized beta-catenin to LEF/TCF at DNA.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C011-science,composite,A membrane ligand on a neighboring cell triggers NOTCH cleavage and nuclear NICD signaling.,NOTCH,NOTCH: Summary paragraphs 1-3,reported,Verified at schematic scope. Limit: Keep the ligand membrane-bound and avoid depicting NICD as the entire intact receptor entering the nucleus.
C011-design,composite,Place two adjacent cell membranes with ligand and Notch facing across the intercellular space. Mark extracellular and intramembrane cleavage as separate steps; detach an NICD-labeled token on the receiving cell side and route it to an RBPJ/MAML-labeled nuclear group.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C012-science,composite,Insulin-receptor phosphorylation recruits signaling pathways; internalization participates in attenuation.,INS,"INS: Summary and Events: SHC, IRS and attenuation",reported,Verified at schematic scope. Limit: The generic receptor is a schematic; insulin receptor preassembly must not be drawn as ligand-induced dimerization of free monomers.
C012-design,composite,"Use matched surface and internalized receptor groups. Bind a labeled insulin token to the receptor, add cytosolic phosphorylation labels and branch to IRS and SHC nodes. Route an internalization arrow into a separate endosomal receptor state; retain an attenuation label rather than erasing every downstream event.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C013-science,composite,BCL-2-family control links cellular stress to mitochondrial release of apoptotic factors.,APOP,APOP: Summary and Events: BAX/BAK and apoptotic factor response,reported,Verified at schematic scope. Limit: Keep outer and inner mitochondrial membranes distinct. This omits other death pathways and does not assert a universal irreversible threshold.
C013-design,composite,"Place stress inputs beside a mitochondrion. Add BAX/BAK and anti-apoptotic regulator labels at the outer membrane, then a release arrow to cytochrome-c and an existing apoptosome group. Continue to a named caspase annotation and an apoptotic cell state.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C014-science,composite,Macroautophagy encloses cargo before fusion with the lysosomal system.,AUTO,"AUTO: Summary: isolation membrane, autophagosome and autolysosome",reported,Verified at schematic scope. Limit: An autophagosome is not a single-membrane endosome. Cargo-receptor specificity requires a separate source.
C014-design,composite,"Use the existing autophagosome as the closed state; construct an open double-membrane cup from membrane components for the preceding state. Place a cargo group inside, seal the cup and connect the resulting vesicle to a lysosome/autolysosome endpoint. Maintain two membrane contours at enclosure.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C016-science,composite,Transferrin releases iron after receptor-mediated uptake into an acidified endosomal setting.,FERR,FERR: Storing Iron; Transferrin and transferrin receptor,reported,Verified at schematic scope. Limit: The receptor token is topology-neutral and must be labeled; no particular receptor structure or iron-export machinery is claimed.
C016-design,composite,"Arrange plasma membrane, endosome and a return lane. Bind iron-bearing transferrin to a receptor token, internalize the group, detach iron tokens under an acidification label, then return receptor and apo-transferrin to the surface for release.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C017-science,composite,Thrombin cleavage enables fibrin assembly into fibers.,FIB,FIB: Building a Scab; Flexible Fibrin; assembly discussion,reported,Verified at schematic scope. Limit: A network illustration does not specify polymerization kinetics or crosslink chemistry.
C017-design,composite,"Start with a few linked fibrinogen instances and a thrombin-labeled enzyme. Use cleavage annotations followed by an assembly arrow to existing fibrin fibers. Build the final mesh from repeated fibers with explicit junctions, optionally placing platelets within the network as another layer.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C018-science,composite,Platelet agonists amplify recruitment and aggregation after activation.,PLT,PLT: Summary and Events: Platelet Aggregation,reported,Verified at schematic scope. Limit: Do not present the feedback loop as the full coagulation cascade or assign unsupported clotting-factor complexes.
C018-design,composite,"Lay out resting and activated platelets along a vessel-wall context. Release labeled ADP/ATP tokens from the activated group, route them to neighboring platelet receptors and close a positive-feedback arrow. Keep alpha-IIb/beta-3 labels attached to integrin instances in an aggregation inset.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C019-science,composite,A scaffold belt stabilizes a small bilayer disc that can hold a membrane protein.,NANO,NANO: Introductory description; Good Cholesterol; Exploring the Structure,reported,"Verified at schematic scope. Limit: Protein copy number, belt count and dimensions remain configurable; this is not a claim about a specific preparation."
C019-design,composite,"Arrange lipid instances into a bilayer patch, wrap its hydrophobic edge with the planned scaffold belt and insert an existing transmembrane protein through the patch. Provide top and tilted side views with individually selectable belt, lipids and protein.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C020-science,composite,Ligand binding can stabilize a regulatory RNA fold and alter gene expression.,RIBO,RIBO: Self Control; Flipping the Switch,reported,Verified at schematic scope. Limit: No universal ON direction is implied; a particular terminator or ribosome-binding-site mechanism needs additional verification.
C020-design,composite,Duplicate the same RNA preset into unbound and bound panels. Keep ligand identity and the expression-platform region labeled. Use an editable output badge reading increased or decreased expression only after the chosen riboswitch class is specified.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C021-science,composite,Telomerase uses an internal RNA template to extend a telomeric DNA end.,TELO,"TELO: Protecting the Ends; Add Six Bases, Repeat; Quadruplexes",reported,Verified at schematic scope. Limit: Sequence labels and repeat length must specify organism; the overview does not model complete telomere replication.
C021-design,composite,Place the DNA 3-prime end against an RNA-containing protein group labeled telomerase. Align a short RNA template region with the extension site; show repeat addition and repositioning as separate arrows. Preserve DNA/RNA identities and strand-end labels throughout.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C022-science,composite,Guanine-rich telomeric DNA can form quadruplex structures.,TELO,"TELO: Protecting the Ends; Add Six Bases, Repeat; Quadruplexes",reported,Verified at schematic scope. Limit: Do not portray quadruplex folding as obligatory at all chromosome ends.
C022-design,composite,Reuse one telomere context and replace only its exposed overhang state with the planned G-quadruplex module. Use a reversible state connector and retain strand endpoints. Keep optional shelterin labels outside the fold instead of embedding all telomere proteins in one icon.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C023-science,composite,Spliceosomal chemistry forms an intron lariat and joins the flanking exons.,SPLICE,SPLICE: Summary paragraphs 1-6,reported,Verified at schematic scope. Limit: This depicts the major spliceosome pathway; branch linkage must not look like an ordinary backbone continuation.
C023-design,composite,Represent two exon blocks connected by an intron strand. Place the existing spliceosome around the junction and mark the branch point. Step one forms a loop linked to the downstream exon; step two joins exons and releases the lariat preset. Preserve exon colors between states.,,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C025-science,composite,"Compatible ends enable ligation, while screening is needed to verify the resulting construct.",CLONE,CLONE: Design; Digest; Ligate; Transform; Isolate the Finished Plasmid,reported,"Verified at schematic scope. Limit: Colony growth alone is not construct verification; this diagram is a conceptual workflow, not an operational protocol."
C025-design,composite,"Arrange donor, cut insert and opened recipient plasmid in parallel lanes; match end labels before joining. Follow ligation with transformation and a separate verification checkpoint. Keep incorrect orientation as an optional clearly marked alternative, not a successful endpoint.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C026-science,composite,"Gibson assembly combines exonuclease, polymerase and ligase activities on overlapping fragments.",GIBSON,GIBSON: Procedure: design and enzyme functions,reported,"Verified at schematic scope. Limit: Overlaps are designed homology, not arbitrary restriction overhangs; no reaction conditions are specified."
C026-design,composite,"Place color-coded fragments with matched overlap labels. Show exposed complementary regions after end processing, annealing, gap filling and nick sealing as four distinct states. Retain the same fragment colors in the assembled product and show circularization only for a circular design.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
C027-science,composite,Golden Gate assembly uses cleavage outside recognition sites to produce designed ligation ends.,GOLD,GOLD: Overview and Golden Gate Assembly workflow,reported,Verified at schematic scope. Limit: Directionality depends on the chosen overhang design; do not imply every arbitrary mixture self-orders.
C027-design,composite,"Use several color-coded DNA modules with separate recognition-site and overhang labels. Draw cleavage outside each recognition site, then order fragments by compatible ends. Keep removed recognition regions visibly excluded from the intended joined product.",,Independent planning proposal,inferred,"Proposed layout, not a reported image or experimentally verified geometry."
